id,partido_id,tipo,minuto
E-0113,P-008,Gol,61
E-0114,P-008,Sustitución,68
E-0115,P-008,Sustitución,72
E-0116,P-008,Tarjeta Amarilla,72
E-0117,P-008,Tarjeta Amarilla,87
E-0118,P-008,Tarjeta Roja,87
E-0119,P-009,Gol,22
E-0120,P-009,Tarjeta Amarilla,27
E-0121,P-009,Sustitución,53
E-0122,P-009,Sustitución,55
E-0123,P-009,Sustitución,59
E-0124,P-009,Sustitución,63
E-0125,P-009,Sustitución,63
E-0126,P-009,Tarjeta Amarilla,64
E-0127,P-009,Sustitución,67
E-0128,P-009,Sustitución,67
E-0129,P-009,Tarjeta Amarilla,76
E-0130,P-010,Gol,12
E-0131,P-010,Tarjeta Amarilla,27
E-0132,P-010,Tarjeta Amarilla,37
E-0133,P-010,Tarjeta Amarilla,37
E-0134,P-010,Gol,44
E-0135,P-010,Sustitución,48
E-0136,P-010,Sustitución,55
E-0137,P-010,Sustitución,58
E-0138,P-010,Sustitución,63
E-0139,P-010,Sustitución,65
E-0140,P-010,Sustitución,66
E-0141,P-010,Gol,76
E-0142,P-010,Tarjeta Amarilla,77
E-0143,P-010,Tarjeta Amarilla,88
E-0144,P-011,Gol,45
E-0145,P-011,Tarjeta Amarilla,56
E-0146,P-011,Tarjeta Amarilla,57
E-0147,P-011,Sustitución,59
E-0148,P-011,Sustitución,59
E-0149,P-011,Gol,60
E-0150,P-011,Sustitución,61
E-0151,P-011,Sustitución,61
E-0152,P-011,Sustitución,65
E-0153,P-011,Sustitución,67
E-0154,P-011,Sustitución,68
E-0155,P-011,Sustitución,71
E-0156,P-011,Sustitución,71
E-0157,P-011,Tarjeta Amarilla,71
E-0158,P-011,Tarjeta Roja,75
E-0159,P-011,Gol,88
E-0160,P-012,Tarjeta Amarilla,13
E-0161,P-012,Tarjeta Amarilla,28
E-0162,P-012,Sustitución,46
E-0163,P-012,Sustitución,47
E-0164,P-012,Sustitución,52
E-0165,P-012,Sustitución,53
E-0166,P-012,Sustitución,59
E-0167,P-012,Tarjeta Amarilla,60
E-0168,P-012,Tarjeta Amarilla,60
E-0169,P-012,Sustitución,65
E-0170,P-012,Gol,66
E-0171,P-012,Gol,88
E-0172,P-012,Gol,89
E-0173,P-013,Tarjeta Amarilla,27
E-0174,P-013,Sustitución,51
E-0175,P-013,Sustitución,51
E-0176,P-013,Sustitución,53
E-0177,P-013,Sustitución,57
E-0178,P-013,Sustitución,57
E-0179,P-013,Sustitución,59
E-0180,P-013,Sustitución,62
E-0181,P-013,Sustitución,64
E-0182,P-013,Gol,66
E-0183,P-013,Tarjeta Amarilla,69
E-0184,P-013,Gol,77
E-0185,P-013,Tarjeta Amarilla,80
E-0186,P-013,Gol,84
E-0187,P-014,Gol,7
E-0188,P-014,Gol,12
E-0189,P-014,Tarjeta Amarilla,35
E-0190,P-014,Gol,38
E-0191,P-014,Sustitución,50
E-0192,P-014,Sustitución,55
E-0193,P-014,Sustitución,56
E-0194,P-014,Sustitución,58
E-0195,P-014,Sustitución,59
E-0196,P-014,Sustitución,66
E-0197,P-014,Sustitución,66
E-0198,P-014,Sustitución,67
E-0199,P-014,Sustitución,71
E-0200,P-014,Tarjeta Amarilla,73
E-0201,P-014,Gol,77
E-0202,P-015,Gol,3
E-0203,P-015,Tarjeta Amarilla,18
E-0204,P-015,Gol,29
E-0205,P-015,Tarjeta Amarilla,43
E-0206,P-015,Sustitución,50
E-0207,P-015,Sustitución,52
E-0208,P-015,Sustitución,55
E-0209,P-015,Tarjeta Amarilla,56
E-0210,P-015,Sustitución,58
E-0211,P-015,Sustitución,61
E-0212,P-015,Sustitución,62
E-0213,P-015,Sustitución,64
E-0214,P-015,Sustitución,67
E-0215,P-015,Gol,67
E-0216,P-015,Sustitución,68
E-0217,P-015,Gol,74
E-0218,P-015,Gol,88
E-0219,P-015,Tarjeta Amarilla,89
E-0220,P-016,Gol,6
E-0221,P-016,Tarjeta Amarilla,21
E-0222,P-016,Tarjeta Amarilla,24
E-0223,P-016,Gol,29
E-0224,P-016,Tarjeta Amarilla,33
E-0225,P-016,Sustitución,57
E-0226,P-016,Sustitución,60
E-0227,P-016,Sustitución,61
E-0228,P-016,Sustitución,63
E-0229,P-016,Sustitución,65
E-0230,P-016,Gol,72
E-0231,P-016,Sustitución,73
E-0232,P-016,Gol,73
E-0233,P-016,Tarjeta Amarilla,75
E-0234,P-016,Gol,82
E-0235,P-016,Tarjeta Amarilla,85
E-0236,P-017,Gol,9
E-0237,P-017,Tarjeta Amarilla,16
E-0238,P-017,Gol,28
E-0239,P-017,Tarjeta Amarilla,37
E-0240,P-017,Gol,40
E-0241,P-017,Sustitución,54
E-0242,P-017,Sustitución,54
E-0243,P-017,Sustitución,59
E-0244,P-017,Sustitución,60
E-0245,P-017,Sustitución,65
E-0246,P-017,Sustitución,66
E-0247,P-017,Tarjeta Amarilla,72
E-0248,P-018,Gol,2
E-0249,P-018,Tarjeta Amarilla,14
E-0250,P-018,Gol,23
E-0251,P-018,Sustitución,47
E-0252,P-018,Sustitución,52
E-0253,P-018,Sustitución,54
E-0254,P-018,Sustitución,57
E-0255,P-018,Tarjeta Amarilla,57
E-0256,P-018,Sustitución,59
E-0257,P-018,Sustitución,60
E-0258,P-018,Sustitución,65
E-0259,P-018,Gol,67
E-0260,P-018,Tarjeta Amarilla,67
E-0261,P-018,Sustitución,68
E-0262,P-019,Gol,5
E-0263,P-019,Tarjeta Amarilla,5
E-0264,P-019,Gol,25
E-0265,P-019,Tarjeta Amarilla,39
E-0266,P-019,Tarjeta Amarilla,40
E-0267,P-019,Sustitución,48
E-0268,P-019,Gol,49
E-0269,P-019,Sustitución,55
E-0270,P-019,Sustitución,56
E-0271,P-019,Sustitución,57
E-0272,P-019,Sustitución,60
E-0273,P-019,Sustitución,62
E-0274,P-019,Sustitución,70
E-0275,P-019,Sustitución,73
E-0276,P-019,Gol,74
E-0277,P-019,Gol,76
E-0278,P-019,Tarjeta Amarilla,80
E-0279,P-019,Sustitución,81
E-0280,P-019,Tarjeta Roja,90
E-0281,P-020,Tarjeta Amarilla,6
E-0282,P-020,Tarjeta Amarilla,24
E-0283,P-020,Gol,42
E-0284,P-020,Sustitución,51
E-0285,P-020,Tarjeta Amarilla,57
E-0286,P-020,Sustitución,59
E-0287,P-020,Sustitución,59
E-0288,P-020,Sustitución,60
E-0289,P-020,Sustitución,62
E-0290,P-020,Sustitución,65
E-0291,P-020,Sustitución,66
E-0292,P-020,Sustitución,69
E-0293,P-020,Sustitución,74
E-0294,P-020,Tarjeta Amarilla,75
E-0295,P-020,Tarjeta Roja,79
E-0296,P-020,Tarjeta Amarilla,86
E-0297,P-021,Gol,14
E-0298,P-021,Tarjeta Amarilla,28
E-0299,P-021,Sustitución,46
E-0300,P-021,Sustitución,46
E-0301,P-021,Sustitución,49
E-0302,P-021,Sustitución,53
E-0303,P-021,Sustitución,53
E-0304,P-021,Gol,55
E-0305,P-021,Sustitución,56
E-0306,P-021,Sustitución,57
E-0307,P-021,Sustitución,58
E-0308,P-021,Tarjeta Amarilla,60
E-0309,P-021,Gol,68
E-0310,P-021,Tarjeta Amarilla,82
E-0311,P-021,Tarjeta Amarilla,88
E-0312,P-022,Gol,1
E-0313,P-022,Gol,4
E-0314,P-022,Tarjeta Amarilla,12
E-0315,P-022,Tarjeta Amarilla,26
E-0316,P-022,Tarjeta Amarilla,45
E-0317,P-022,Sustitución,51
E-0318,P-022,Sustitución,57
E-0319,P-022,Sustitución,59
E-0320,P-022,Sustitución,60
E-0321,P-022,Sustitución,60
E-0322,P-022,Sustitución,63
E-0323,P-022,Gol,63
E-0324,P-022,Sustitución,64
E-0325,P-022,Sustitución,65
E-0326,P-022,Tarjeta Amarilla,70
E-0327,P-022,Tarjeta Amarilla,74
E-0328,P-023,Tarjeta Amarilla,8
E-0329,P-023,Tarjeta Amarilla,29
E-0330,P-023,Sustitución,46
E-0331,P-023,Sustitución,54
E-0332,P-023,Sustitución,55
E-0333,P-023,Gol,56
E-0334,P-023,Sustitución,57
E-0335,P-023,Sustitución,59
E-0336,P-023,Sustitución,60
E-0337,P-023,Sustitución,62
E-0338,P-023,Sustitución,65
E-0339,P-023,Sustitución,67
E-0340,P-023,Sustitución,70
E-0341,P-024,Tarjeta Amarilla,29
E-0342,P-024,Tarjeta Amarilla,48
E-0343,P-024,Gol,50
E-0344,P-024,Sustitución,51
E-0345,P-024,Sustitución,52
E-0346,P-024,Sustitución,53
E-0347,P-024,Sustitución,58
E-0348,P-024,Sustitución,59
E-0349,P-024,Sustitución,61
E-0350,P-024,Sustitución,62
E-0351,P-024,Sustitución,70
E-0352,P-024,Tarjeta Amarilla,70
E-0353,P-024,Tarjeta Amarilla,79
E-0354,P-024,Gol,86
E-0355,P-025,Gol,2
E-0356,P-025,Gol,17
E-0357,P-025,Gol,40
E-0358,P-025,Gol,42
E-0359,P-025,Tarjeta Amarilla,45
E-0360,P-025,Sustitución,53
E-0361,P-025,Sustitución,57
E-0362,P-025,Sustitución,57
E-0363,P-025,Sustitución,58
E-0364,P-025,Sustitución,61
E-0365,P-025,Sustitución,61
E-0366,P-025,Sustitución,65
E-0367,P-025,Tarjeta Amarilla,66
E-0368,P-025,Sustitución,68
E-0369,P-026,Gol,2
E-0370,P-026,Tarjeta Amarilla,15
E-0371,P-026,Gol,19
E-0372,P-026,Tarjeta Amarilla,40
E-0373,P-026,Gol,41
E-0374,P-026,Sustitución,53
E-0375,P-026,Sustitución,55
E-0376,P-026,Tarjeta Amarilla,55
E-0377,P-026,Sustitución,59
E-0378,P-026,Sustitución,60
E-0379,P-026,Sustitución,64
E-0380,P-026,Sustitución,66
E-0381,P-026,Tarjeta Amarilla,69
E-0382,P-026,Gol,70
E-0383,P-026,Sustitución,73
E-0384,P-026,Tarjeta Amarilla,77
E-0385,P-027,Tarjeta Amarilla,7
E-0386,P-027,Gol,17
E-0387,P-027,Tarjeta Amarilla,17
E-0388,P-027,Gol,25
E-0389,P-027,Tarjeta Amarilla,29
E-0390,P-027,Tarjeta Amarilla,31
E-0391,P-027,Sustitución,46
E-0392,P-027,Sustitución,49
E-0393,P-027,Sustitución,50
E-0394,P-027,Sustitución,52
E-0395,P-027,Gol,53
E-0396,P-027,Sustitución,56
E-0397,P-027,Sustitución,57
E-0398,P-027,Sustitución,58
E-0399,P-027,Sustitución,60
E-0400,P-027,Sustitución,60
E-0401,P-027,Gol,61
E-0402,P-028,Tarjeta Amarilla,4
E-0403,P-028,Tarjeta Amarilla,23
E-0404,P-028,Sustitución,47
E-0405,P-028,Sustitución,54
E-0406,P-028,Sustitución,57
E-0407,P-028,Sustitución,57
E-0408,P-028,Sustitución,59
E-0409,P-028,Sustitución,61
E-0410,P-028,Sustitución,63
E-0411,P-028,Sustitución,69
E-0412,P-028,Gol,82
E-0413,P-028,Gol,87
E-0414,P-029,Tarjeta Amarilla,12
E-0415,P-029,Tarjeta Amarilla,16
E-0416,P-029,Tarjeta Amarilla,21
E-0417,P-029,Sustitución,48
E-0418,P-029,Sustitución,50
E-0419,P-029,Sustitución,53
E-0420,P-029,Sustitución,56
E-0421,P-029,Sustitución,60
E-0422,P-029,Sustitución,67
E-0423,P-029,Sustitución,74
E-0424,P-029,Sustitución,81
E-0425,P-029,Tarjeta Amarilla,88
E-0426,P-030,Tarjeta Amarilla,2
E-0427,P-030,Tarjeta Amarilla,20
E-0428,P-030,Tarjeta Amarilla,23
E-0429,P-030,Tarjeta Amarilla,29
E-0430,P-030,Gol,30
E-0431,P-030,Gol,39
E-0432,P-030,Gol,46
E-0433,P-030,Gol,48
E-0434,P-030,Tarjeta Amarilla,54
E-0435,P-030,Sustitución,58
E-0436,P-030,Sustitución,59
E-0437,P-030,Sustitución,59
E-0438,P-030,Sustitución,66
E-0439,P-030,Sustitución,66
E-0440,P-030,Sustitución,73
E-0441,P-030,Sustitución,74
E-0442,P-030,Sustitución,75
E-0443,P-030,Sustitución,77
E-0444,P-030,Sustitución,78
E-0445,P-030,Tarjeta Roja,82
E-0446,P-031,Tarjeta Amarilla,16
E-0447,P-031,Tarjeta Amarilla,38
E-0448,P-031,Sustitución,51
E-0449,P-031,Sustitución,51
E-0450,P-031,Sustitución,57
E-0451,P-031,Sustitución,59
E-0452,P-031,Sustitución,61
E-0453,P-031,Sustitución,64
E-0454,P-031,Gol,64
E-0455,P-031,Sustitución,68
E-0456,P-031,Sustitución,69
E-0457,P-031,Tarjeta Amarilla,70
E-0458,P-031,Gol,72
E-0459,P-031,Sustitución,76
E-0460,P-031,Tarjeta Amarilla,78
E-0461,P-032,Tarjeta Amarilla,40
E-0462,P-032,Sustitución,47
E-0463,P-032,Sustitución,50
E-0464,P-032,Sustitución,52
E-0465,P-032,Sustitución,54
E-0466,P-032,Sustitución,57
E-0467,P-032,Sustitución,57
E-0468,P-032,Sustitución,61
E-0469,P-032,Gol,70
E-0470,P-032,Tarjeta Amarilla,73
E-0471,P-033,Gol,9
E-0472,P-033,Gol,24
E-0473,P-033,Sustitución,53
E-0474,P-033,Sustitución,55
E-0475,P-033,Sustitución,60
E-0476,P-033,Sustitución,60
E-0477,P-033,Gol,61
E-0478,P-033,Gol,63
E-0479,P-033,Sustitución,67
E-0480,P-033,Tarjeta Amarilla,69
E-0481,P-033,Sustitución,73
E-0482,P-033,Sustitución,76
E-0483,P-033,Tarjeta Amarilla,78
E-0484,P-033,Gol,82
E-0485,P-034,Tarjeta Amarilla,36
E-0486,P-034,Sustitución,51
E-0487,P-034,Sustitución,56
E-0488,P-034,Sustitución,58
E-0489,P-034,Sustitución,62
E-0490,P-034,Sustitución,65
E-0491,P-034,Sustitución,67
E-0492,P-034,Sustitución,69
E-0493,P-034,Sustitución,72
E-0494,P-034,Sustitución,74
E-0495,P-034,Tarjeta Amarilla,78
E-0496,P-034,Tarjeta Amarilla,80
E-0497,P-034,Tarjeta Amarilla,81
E-0498,P-034,Sustitución,82
E-0499,P-034,Tarjeta Amarilla,82
E-0500,P-035,Gol,3
E-0501,P-035,Gol,38
E-0502,P-035,Sustitución,51
E-0503,P-035,Sustitución,55
E-0504,P-035,Sustitución,56
E-0505,P-035,Sustitución,58
E-0506,P-035,Sustitución,59
E-0507,P-035,Sustitución,60
E-0508,P-035,Sustitución,60
E-0509,P-035,Sustitución,63
E-0510,P-035,Sustitución,65
E-0511,P-035,Tarjeta Amarilla,69
E-0512,P-035,Sustitución,70
E-0513,P-035,Gol,71
E-0514,P-035,Tarjeta Amarilla,80
E-0515,P-036,Tarjeta Amarilla,23
E-0516,P-036,Tarjeta Amarilla,23
E-0517,P-036,Tarjeta Amarilla,23
E-0518,P-036,Tarjeta Amarilla,35
E-0519,P-036,Sustitución,47
E-0520,P-036,Sustitución,52
E-0521,P-036,Sustitución,55
E-0522,P-036,Sustitución,56
E-0523,P-036,Sustitución,56
E-0524,P-036,Sustitución,57
E-0525,P-036,Sustitución,65
E-0526,P-036,Sustitución,68
E-0527,P-036,Gol,83
E-0528,P-036,Tarjeta Amarilla,85
E-0529,P-036,Tarjeta Roja,86
E-0530,P-037,Tarjeta Amarilla,9
E-0531,P-037,Tarjeta Amarilla,25
E-0532,P-037,Gol,27
E-0533,P-037,Sustitución,52
E-0534,P-037,Sustitución,55
E-0535,P-037,Gol,59
E-0536,P-037,Sustitución,60
E-0537,P-037,Sustitución,62
E-0538,P-037,Sustitución,62
E-0539,P-037,Sustitución,63
E-0540,P-037,Sustitución,67
E-0541,P-037,Tarjeta Roja,85
E-0542,P-038,Gol,4
E-0543,P-038,Tarjeta Amarilla,11
E-0544,P-038,Gol,36
E-0545,P-038,Tarjeta Amarilla,40
E-0546,P-038,Tarjeta Amarilla,57
E-0547,P-038,Sustitución,60
E-0548,P-038,Sustitución,60
E-0549,P-038,Sustitución,62
E-0550,P-038,Gol,62
E-0551,P-038,Sustitución,64
E-0552,P-038,Sustitución,65
E-0553,P-038,Sustitución,68
E-0554,P-038,Gol,68
E-0555,P-038,Tarjeta Amarilla,85
E-0556,P-039,Gol,26
E-0557,P-039,Tarjeta Amarilla,29
E-0558,P-039,Sustitución,56
E-0559,P-039,Sustitución,58
E-0560,P-039,Sustitución,60
E-0561,P-039,Sustitución,61
E-0562,P-039,Sustitución,62
E-0563,P-039,Sustitución,66
E-0564,P-039,Sustitución,66
E-0565,P-039,Sustitución,69
E-0566,P-039,Sustitución,72
E-0567,P-039,Sustitución,74
E-0568,P-039,Tarjeta Amarilla,89
E-0569,P-040,Tarjeta Amarilla,4
E-0570,P-040,Tarjeta Amarilla,9
E-0571,P-040,Gol,29
E-0572,P-040,Sustitución,46
E-0573,P-040,Sustitución,52
E-0574,P-040,Sustitución,54
E-0575,P-040,Sustitución,57
E-0576,P-040,Sustitución,59
E-0577,P-040,Sustitución,60
E-0578,P-040,Sustitución,68
E-0579,P-040,Tarjeta Amarilla,79
E-0580,P-040,Gol,83
E-0581,P-041,Tarjeta Amarilla,10
E-0582,P-041,Gol,19
E-0583,P-041,Tarjeta Amarilla,24
E-0584,P-041,Sustitución,50
E-0585,P-041,Sustitución,55
E-0586,P-041,Sustitución,56
E-0587,P-041,Sustitución,57
E-0588,P-041,Sustitución,58
E-0589,P-041,Sustitución,59
E-0590,P-041,Sustitución,60
E-0591,P-041,Gol,65
E-0592,P-041,Sustitución,66
E-0593,P-041,Tarjeta Amarilla,71
E-0594,P-041,Gol,76
E-0595,P-041,Tarjeta Amarilla,89
E-0596,P-041,Gol,90
E-0597,P-042,Tarjeta Amarilla,4
E-0598,P-042,Gol,10
E-0599,P-042,Tarjeta Amarilla,13
E-0600,P-042,Sustitución,56
E-0601,P-042,Sustitución,57
E-0602,P-042,Sustitución,58
E-0603,P-042,Sustitución,59
E-0604,P-042,Sustitución,65
E-0605,P-042,Sustitución,67
E-0606,P-042,Sustitución,73
E-0607,P-042,Gol,88
E-0608,P-043,Gol,1
E-0609,P-043,Tarjeta Amarilla,5
E-0610,P-043,Gol,29
E-0611,P-043,Tarjeta Amarilla,41
E-0612,P-043,Sustitución,47
E-0613,P-043,Sustitución,48
E-0614,P-043,Sustitución,48
E-0615,P-043,Sustitución,56
E-0616,P-043,Sustitución,56
E-0617,P-043,Sustitución,59
E-0618,P-043,Sustitución,63
E-0619,P-043,Sustitución,65
E-0620,P-043,Tarjeta Amarilla,71
E-0621,P-043,Sustitución,73
E-0622,P-044,Tarjeta Amarilla,13
E-0623,P-044,Gol,16
E-0624,P-044,Tarjeta Amarilla,29
E-0625,P-044,Gol,35
E-0626,P-044,Sustitución,53
E-0627,P-044,Sustitución,54
E-0628,P-044,Sustitución,54
E-0629,P-044,Sustitución,55
E-0630,P-044,Sustitución,59
E-0631,P-044,Tarjeta Amarilla,59
E-0632,P-044,Sustitución,63
E-0633,P-044,Sustitución,66
E-0634,P-044,Sustitución,70
E-0635,P-044,Sustitución,70
E-0636,P-044,Gol,85
E-0637,P-044,Tarjeta Amarilla,88
E-0638,P-044,Tarjeta Amarilla,90
E-0639,P-045,Tarjeta Amarilla,15
E-0640,P-045,Tarjeta Amarilla,31
E-0641,P-045,Gol,36
E-0642,P-045,Tarjeta Amarilla,36
E-0643,P-045,Gol,46
E-0644,P-045,Sustitución,57
E-0645,P-045,Sustitución,60
E-0646,P-045,Sustitución,60
E-0647,P-045,Sustitución,67
E-0648,P-045,Sustitución,68
E-0649,P-045,Sustitución,70
E-0650,P-045,Gol,70
E-0651,P-045,Sustitución,75
E-0652,P-045,Sustitución,76
E-0653,P-045,Tarjeta Amarilla,84
E-0654,P-046,Gol,7
E-0655,P-046,Tarjeta Amarilla,15
E-0656,P-046,Gol,17
E-0657,P-046,Gol,24
E-0658,P-046,Tarjeta Amarilla,42
E-0659,P-046,Sustitución,48
E-0660,P-046,Sustitución,52
E-0661,P-046,Sustitución,53
E-0662,P-046,Sustitución,55
E-0663,P-046,Sustitución,60
E-0664,P-046,Sustitución,60
E-0665,P-046,Sustitución,61
E-0666,P-046,Sustitución,67
E-0667,P-046,Sustitución,71
E-0668,P-046,Gol,82
E-0669,P-047,Gol,7
E-0670,P-047,Tarjeta Amarilla,16
E-0671,P-047,Tarjeta Amarilla,31
E-0672,P-047,Gol,36
E-0673,P-047,Sustitución,46
E-0674,P-047,Gol,47
E-0675,P-047,Sustitución,51
E-0676,P-047,Sustitución,53
E-0677,P-047,Sustitución,54
E-0678,P-047,Sustitución,57
E-0679,P-047,Sustitución,58
E-0680,P-047,Sustitución,64
E-0681,P-047,Gol,67
E-0682,P-047,Sustitución,69
E-0683,P-047,Tarjeta Amarilla,71
E-0684,P-047,Tarjeta Amarilla,78
E-0685,P-047,Tarjeta Amarilla,78
E-0686,P-047,Gol,88
E-0687,P-048,Tarjeta Amarilla,10
E-0688,P-048,Tarjeta Amarilla,17
E-0689,P-048,Tarjeta Amarilla,28
E-0690,P-048,Tarjeta Amarilla,31
E-0691,P-048,Gol,39
E-0692,P-048,Tarjeta Amarilla,39
E-0693,P-048,Gol,44
E-0694,P-048,Sustitución,47
E-0695,P-048,Sustitución,53
E-0696,P-048,Sustitución,55
E-0697,P-048,Sustitución,58
E-0698,P-048,Sustitución,63
E-0699,P-048,Sustitución,63
E-0700,P-048,Gol,73
E-0701,P-048,Gol,77
E-0702,P-048,Gol,87
E-0703,P-049,Gol,4
E-0704,P-049,Tarjeta Amarilla,28
E-0705,P-049,Gol,33
E-0706,P-049,Tarjeta Amarilla,44
E-0707,P-049,Sustitución,55
E-0708,P-049,Tarjeta Amarilla,55
E-0709,P-049,Tarjeta Amarilla,56
E-0710,P-049,Sustitución,58
E-0711,P-049,Gol,59
E-0712,P-049,Sustitución,62
E-0713,P-049,Sustitución,62
E-0714,P-049,Sustitución,65
E-0715,P-049,Sustitución,68
E-0716,P-049,Sustitución,70
E-0717,P-049,Gol,76
E-0718,P-049,Sustitución,77
E-0719,P-049,Tarjeta Amarilla,81
E-0720,P-050,Gol,18
E-0721,P-050,Tarjeta Amarilla,25
E-0722,P-050,Gol,29
E-0723,P-050,Tarjeta Amarilla,30
E-0724,P-050,Sustitución,55
E-0725,P-050,Sustitución,56
E-0726,P-050,Tarjeta Amarilla,58
E-0727,P-050,Sustitución,60
E-0728,P-050,Sustitución,61
E-0729,P-050,Sustitución,62
E-0730,P-050,Gol,65
E-0731,P-050,Sustitución,68
E-0732,P-050,Tarjeta Amarilla,69
E-0733,P-051,Tarjeta Amarilla,5
E-0734,P-051,Gol,6
E-0735,P-051,Tarjeta Amarilla,12
E-0736,P-051,Tarjeta Amarilla,41
E-0737,P-051,Tarjeta Amarilla,45
E-0738,P-051,Sustitución,48
E-0739,P-051,Sustitución,50
E-0740,P-051,Sustitución,53
E-0741,P-051,Sustitución,54
E-0742,P-051,Sustitución,55
E-0743,P-051,Gol,55
E-0744,P-051,Sustitución,61
E-0745,P-051,Sustitución,62
E-0746,P-051,Sustitución,67
E-0747,P-051,Tarjeta Amarilla,70
E-0748,P-052,Tarjeta Amarilla,32
E-0749,P-052,Sustitución,48
E-0750,P-052,Sustitución,54
E-0751,P-052,Sustitución,55
E-0752,P-052,Sustitución,58
E-0753,P-052,Sustitución,61
E-0754,P-052,Tarjeta Roja,61
E-0755,P-052,Sustitución,65
E-0756,P-052,Sustitución,69
E-0757,P-052,Sustitución,73
E-0758,P-052,Gol,84
E-0759,P-052,Tarjeta Amarilla,85
E-0760,P-052,Gol,87
E-0761,P-053,Gol,47
E-0762,P-053,Sustitución,59
E-0763,P-053,Sustitución,60
E-0764,P-053,Tarjeta Amarilla,60
E-0765,P-053,Gol,63
E-0766,P-053,Gol,65
E-0767,P-053,Sustitución,66
E-0768,P-053,Sustitución,67
E-0769,P-053,Sustitución,70
E-0770,P-053,Tarjeta Amarilla,71
E-0771,P-053,Sustitución,75
