evento_id,jugador_id,rol
E-0043,USA-6,amonestado
E-0044,MEX-2,amonestado
E-0045,CZE-18,autor
E-0045,CZE-6,asistencia
E-0046,CZE-8,amonestado
E-0047,CZE-4,amonestado
E-0048,MEX-7,sale
E-0048,MEX-22,entra
E-0049,MEX-26,autor
E-0049,MEX-20,asistencia
E-0050,MEX-11,sale
E-0050,MEX-19,entra
E-0051,MEX-22,autor
E-0052,CZE-4,sale
E-0052,CZE-7,entra
E-0053,MEX-10,sale
E-0053,MEX-14,entra
E-0054,CZE-22,autor
E-0054,CZE-18,asistencia
E-0055,CZE-16,sale
E-0055,CZE-15,entra
E-0056,MEX-26,sale
E-0056,MEX-17,entra
E-0057,CZE-6,sale
E-0057,CZE-14,entra
E-0058,MEX-14,amonestado
E-0059,CZE-24,amonestado
E-0060,KOR-22,autor
E-0061,RSA-11,autor
E-0061,RSA-9,asistencia
E-0062,RSA-26,autor
E-0063,KOR-19,sale
E-0063,KOR-17,entra
E-0064,KOR-10,autor
E-0065,KOR-22,sale
E-0065,KOR-26,entra
E-0066,KOR-26,autor
E-0067,KOR-3,sale
E-0067,KOR-6,entra
E-0068,RSA-24,sale
E-0068,RSA-21,entra
E-0069,KOR-2,amonestado
E-0070,RSA-6,sale
E-0070,RSA-22,entra
E-0071,RSA-10,sale
E-0071,RSA-4,entra
E-0072,KOR-4,amonestado
E-0073,RSA-2,sale
E-0073,RSA-5,entra
E-0074,RSA-8,sale
E-0074,RSA-7,entra
E-0075,KOR-10,autor
E-0075,KOR-6,asistencia
E-0076,SUI-18,amonestado
E-0077,BIH-11,autor
E-0077,BIH-3,asistencia
E-0078,SUI-6,sale
E-0078,SUI-14,entra
E-0079,BIH-9,sale
E-0079,BIH-5,entra
E-0080,SUI-13,sale
E-0080,SUI-7,entra
E-0081,SUI-3,sale
E-0081,SUI-17,entra
E-0082,BIH-2,sale
E-0082,BIH-8,entra
E-0083,BIH-3,sale
E-0083,BIH-6,entra
E-0084,SUI-20,sale
E-0084,SUI-24,entra
E-0085,BIH-24,sale
E-0085,BIH-15,entra
E-0086,BIH-13,amonestado
E-0087,SUI-22,sale
E-0087,SUI-19,entra
E-0088,BIH-7,sale
E-0088,BIH-19,entra
E-0089,BIH-21,autor
E-0089,BIH-15,asistencia
E-0090,BIH-21,autor
E-0090,BIH-13,asistencia
E-0091,QAT-21,autor
E-0091,QAT-8,asistencia
E-0092,CAN-6,amonestado
E-0093,QAT-16,amonestado
E-0094,CAN-24,sale
E-0094,CAN-19,entra
E-0095,CAN-11,sale
E-0095,CAN-9,entra
E-0096,CAN-6,sale
E-0096,CAN-21,entra
E-0097,QAT-8,sale
E-0097,QAT-26,entra
E-0098,CAN-22,sale
E-0098,CAN-20,entra
E-0099,QAT-20,sale
E-0099,QAT-22,entra
E-0100,QAT-10,amonestado
E-0101,QAT-21,sale
E-0101,QAT-6,entra
E-0102,CAN-3,sale
E-0102,CAN-16,entra
E-0103,QAT-5,amonestado
E-0104,HAI-2,amonestado
E-0105,BRA-20,autor
E-0105,BRA-2,asistencia
E-0106,BRA-11,autor
E-0106,BRA-19,asistencia
E-0107,BRA-19,sale
E-0107,BRA-16,entra
E-0108,BRA-2,amonestado
E-0109,BRA-20,sale
E-0109,BRA-26,entra
E-0110,HAI-10,sale
E-0110,HAI-19,entra
E-0111,BRA-10,sale
E-0111,BRA-13,entra
E-0112,HAI-22,sale
E-0112,HAI-25,entra
E-0113,BRA-22,autor
E-0114,HAI-11,sale
E-0114,HAI-18,entra
E-0115,HAI-2,sale
E-0115,HAI-5,entra
E-0116,HAI-18,amonestado
E-0117,BRA-11,amonestado
E-0118,HAI-19,expulsado
E-0119,MAR-4,autor
E-0120,MAR-5,amonestado
E-0121,SCO-26,sale
E-0121,SCO-21,entra
E-0122,MAR-22,sale
E-0122,MAR-26,entra
E-0123,SCO-20,sale
E-0123,SCO-22,entra
E-0124,MAR-5,sale
E-0124,MAR-8,entra
E-0125,SCO-10,sale
E-0125,SCO-16,entra
E-0126,MAR-8,amonestado
E-0127,MAR-20,sale
E-0127,MAR-15,entra
E-0128,SCO-15,sale
E-0128,SCO-18,entra
E-0129,SCO-4,amonestado
E-0130,TUR-25,autor
E-0131,TUR-14,amonestado
E-0132,AUS-21,amonestado
E-0133,AUS-10,amonestado
E-0134,AUS-16,autor
E-0134,AUS-10,asistencia
E-0135,AUS-10,sale
E-0135,AUS-17,entra
E-0136,AUS-13,sale
E-0136,AUS-26,entra
E-0137,TUR-14,sale
E-0137,TUR-18,entra
E-0138,AUS-16,sale
E-0138,AUS-14,entra
E-0139,TUR-2,sale
E-0139,TUR-4,entra
E-0140,TUR-6,sale
E-0140,TUR-17,entra
E-0141,AUS-21,autor
E-0141,AUS-26,asistencia
E-0142,TUR-4,amonestado
E-0143,AUS-20,amonestado
E-0144,CUW-22,autor
E-0145,CUW-4,amonestado
E-0146,CUW-5,amonestado
E-0147,GER-8,sale
E-0147,GER-3,entra
E-0148,CUW-5,sale
E-0148,CUW-18,entra
E-0149,GER-16,autor
E-0150,GER-25,sale
E-0150,GER-24,entra
E-0151,CUW-22,sale
E-0151,CUW-24,entra
E-0152,CUW-11,sale
E-0152,CUW-19,entra
E-0153,CUW-13,sale
E-0153,CUW-8,entra
E-0154,GER-19,sale
E-0154,GER-17,entra
E-0155,GER-20,sale
E-0155,GER-5,entra
E-0156,CUW-20,sale
E-0156,CUW-25,entra
E-0157,GER-21,amonestado
E-0158,GER-17,expulsado
E-0159,GER-16,autor
E-0159,GER-2,asistencia
E-0160,ECU-7,amonestado
E-0161,CIV-10,amonestado
E-0162,ECU-10,sale
E-0162,ECU-5,entra
E-0163,ECU-4,sale
E-0163,ECU-8,entra
E-0164,ECU-21,sale
E-0164,ECU-26,entra
E-0165,CIV-7,sale
E-0165,CIV-8,entra
E-0166,CIV-15,sale
E-0166,CIV-21,entra
E-0167,ECU-3,amonestado
E-0168,ECU-8,amonestado
E-0169,CIV-24,sale
E-0169,CIV-5,entra
E-0170,CIV-25,autor
E-0171,ECU-20,autor
E-0172,ECU-22,autor
E-0172,ECU-20,asistencia
E-0173,NED-24,amonestado
E-0174,NED-3,sale
E-0174,NED-22,entra
E-0175,TUN-14,sale
E-0175,TUN-22,entra
E-0176,NED-4,sale
E-0176,NED-5,entra
E-0177,NED-7,sale
E-0177,NED-6,entra
E-0178,TUN-5,sale
E-0178,TUN-19,entra
E-0179,TUN-13,sale
E-0179,TUN-17,entra
E-0180,NED-21,sale
E-0180,NED-13,entra
E-0181,TUN-25,sale
E-0181,TUN-20,entra
E-0182,TUN-24,autor
E-0183,NED-13,amonestado
E-0184,NED-14,autor
E-0184,NED-13,asistencia
E-0185,NED-19,amonestado
E-0186,NED-20,autor
E-0186,NED-18,asistencia
E-0187,JPN-20,autor
E-0187,JPN-26,asistencia
E-0188,SWE-21,autor
E-0188,SWE-9,asistencia
E-0189,JPN-18,amonestado
E-0190,SWE-24,autor
E-0191,JPN-26,sale
E-0191,JPN-14,entra
E-0192,SWE-9,sale
E-0192,SWE-8,entra
E-0193,SWE-6,sale
E-0193,SWE-7,entra
E-0194,JPN-24,sale
E-0194,JPN-25,entra
E-0195,SWE-24,sale
E-0195,SWE-19,entra
E-0196,JPN-2,sale
E-0196,JPN-4,entra
E-0197,SWE-10,sale
E-0197,SWE-13,entra
E-0198,SWE-17,sale
E-0198,SWE-18,entra
E-0199,JPN-18,sale
E-0199,JPN-16,entra
E-0200,SWE-19,amonestado
E-0201,JPN-20,autor
E-0202,NZL-18,autor
E-0202,NZL-22,asistencia
E-0203,BEL-14,amonestado
E-0204,BEL-11,autor
E-0204,BEL-5,asistencia
E-0205,NZL-11,amonestado
E-0206,NZL-20,sale
E-0206,NZL-24,entra
E-0207,NZL-3,sale
E-0207,NZL-9,entra
E-0208,NZL-5,sale
E-0208,NZL-8,entra
E-0209,BEL-3,amonestado
E-0210,BEL-4,sale
E-0210,BEL-2,entra
E-0211,NZL-11,sale
E-0211,NZL-4,entra
E-0212,BEL-10,sale
E-0212,BEL-24,entra
E-0213,BEL-14,sale
E-0213,BEL-13,entra
E-0214,BEL-26,sale
E-0214,BEL-21,entra
E-0215,BEL-2,autor
E-0216,BEL-6,sale
E-0216,BEL-18,entra
E-0217,BEL-13,autor
E-0217,BEL-24,asistencia
E-0218,BEL-22,autor
E-0218,BEL-13,asistencia
E-0219,BEL-5,amonestado
E-0220,IRN-26,autor
E-0220,IRN-6,asistencia
E-0221,IRN-10,amonestado
E-0222,EGY-5,amonestado
E-0223,EGY-20,autor
E-0224,IRN-4,amonestado
E-0225,EGY-5,sale
E-0225,EGY-7,entra
E-0226,IRN-2,sale
E-0226,IRN-8,entra
E-0227,IRN-5,sale
E-0227,IRN-9,entra
E-0228,IRN-14,sale
E-0228,IRN-19,entra
E-0229,EGY-20,sale
E-0229,EGY-26,entra
E-0230,IRN-26,autor
E-0230,IRN-13,asistencia
E-0231,EGY-16,sale
E-0231,EGY-17,entra
E-0232,IRN-19,autor
E-0232,IRN-10,asistencia
E-0233,EGY-14,amonestado
E-0234,IRN-19,autor
E-0235,IRN-19,amonestado
E-0236,CPV-20,autor
E-0236,CPV-24,asistencia
E-0237,CPV-3,amonestado
E-0238,ESP-14,autor
E-0238,ESP-19,asistencia
E-0239,CPV-13,amonestado
E-0240,CPV-20,autor
E-0240,CPV-8,asistencia
E-0241,ESP-25,sale
E-0241,ESP-26,entra
E-0242,CPV-3,sale
E-0242,CPV-9,entra
E-0243,CPV-14,sale
E-0243,CPV-11,entra
E-0244,ESP-11,sale
E-0244,ESP-17,entra
E-0245,ESP-2,sale
E-0245,ESP-7,entra
E-0246,CPV-6,sale
E-0246,CPV-22,entra
E-0247,CPV-8,amonestado
E-0248,FRA-21,autor
E-0248,FRA-4,asistencia
E-0249,IRQ-2,amonestado
E-0250,FRA-21,autor
E-0251,FRA-14,sale
E-0251,FRA-19,entra
E-0252,IRQ-22,sale
E-0252,IRQ-17,entra
E-0253,FRA-20,sale
E-0253,FRA-25,entra
E-0254,FRA-5,sale
E-0254,FRA-7,entra
E-0255,FRA-11,amonestado
E-0256,IRQ-11,sale
E-0256,IRQ-25,entra
E-0257,IRQ-2,sale
E-0257,IRQ-8,entra
E-0258,FRA-3,sale
E-0258,FRA-18,entra
E-0259,FRA-26,autor
E-0259,FRA-6,asistencia
E-0260,FRA-18,amonestado
E-0261,IRQ-20,sale
E-0261,IRQ-16,entra
E-0262,NOR-20,autor
E-0262,NOR-7,asistencia
E-0263,SEN-4,amonestado
E-0264,SEN-18,autor
E-0264,SEN-10,asistencia
E-0265,SEN-19,amonestado
E-0266,NOR-7,amonestado
E-0267,NOR-16,sale
E-0267,NOR-19,entra
E-0268,NOR-25,autor
E-0268,NOR-11,asistencia
E-0269,SEN-18,sale
E-0269,SEN-13,entra
E-0270,NOR-20,sale
E-0270,NOR-13,entra
E-0271,NOR-21,sale
E-0271,NOR-22,entra
E-0272,NOR-2,sale
E-0272,NOR-6,entra
E-0273,SEN-21,sale
E-0273,SEN-20,entra
E-0274,SEN-22,sale
E-0274,SEN-24,entra
E-0275,SEN-3,sale
E-0275,SEN-5,entra
E-0276,NOR-19,autor
E-0276,NOR-6,asistencia
E-0277,SEN-10,autor
E-0278,SEN-26,amonestado
E-0279,SEN-4,sale
E-0279,SEN-14,entra
E-0280,NOR-6,expulsado
E-0281,AUT-3,amonestado
E-0282,AUT-4,amonestado
E-0283,ALG-20,autor
E-0283,ALG-4,asistencia
E-0284,ALG-7,sale
E-0284,ALG-11,entra
E-0285,ALG-11,amonestado
E-0286,AUT-10,sale
E-0286,AUT-8,entra
E-0287,ALG-4,sale
E-0287,ALG-2,entra
E-0288,AUT-3,sale
E-0288,AUT-6,entra
E-0289,ALG-18,sale
E-0289,ALG-15,entra
E-0290,AUT-5,sale
E-0290,AUT-9,entra
E-0291,AUT-15,sale
E-0291,AUT-11,entra
E-0292,ALG-16,sale
E-0292,ALG-9,entra
E-0293,AUT-24,sale
E-0293,AUT-16,entra
E-0294,AUT-6,amonestado
E-0295,AUT-9,expulsado
E-0296,AUT-26,amonestado
E-0297,POR-15,autor
E-0297,POR-10,asistencia
E-0298,COD-18,amonestado
E-0299,POR-3,sale
E-0299,POR-9,entra
E-0300,COD-21,sale
E-0300,COD-7,entra
E-0301,COD-2,sale
E-0301,COD-22,entra
E-0302,POR-20,sale
E-0302,POR-6,entra
E-0303,COD-20,sale
E-0303,COD-14,entra
E-0304,COD-24,autor
E-0305,POR-15,sale
E-0305,POR-19,entra
E-0306,POR-21,sale
E-0306,POR-22,entra
E-0307,COD-5,sale
E-0307,COD-6,entra
E-0308,POR-6,amonestado
E-0309,POR-2,autor
E-0309,POR-19,asistencia
E-0310,POR-9,amonestado
E-0311,POR-10,amonestado
E-0312,COL-24,autor
E-0312,COL-17,asistencia
E-0313,UZB-26,autor
E-0313,UZB-18,asistencia
E-0314,UZB-5,amonestado
E-0315,UZB-21,amonestado
E-0316,COL-8,amonestado
E-0317,COL-10,sale
E-0317,COL-9,entra
E-0318,COL-17,sale
E-0318,COL-5,entra
E-0319,UZB-6,sale
E-0319,UZB-25,entra
E-0320,COL-24,sale
E-0320,COL-15,entra
E-0321,UZB-2,sale
E-0321,UZB-14,entra
E-0322,UZB-11,sale
E-0322,UZB-10,entra
E-0323,UZB-21,autor
E-0324,COL-14,sale
E-0324,COL-16,entra
E-0325,COL-2,sale
E-0325,COL-4,entra
E-0326,COL-4,amonestado
E-0327,UZB-14,amonestado
E-0328,GHA-5,amonestado
E-0329,GHA-14,amonestado
E-0330,ENG-2,sale
E-0330,ENG-9,entra
E-0331,ENG-5,sale
E-0331,ENG-7,entra
E-0332,GHA-3,sale
E-0332,GHA-13,entra
E-0333,ENG-20,autor
E-0333,ENG-10,asistencia
E-0334,GHA-4,sale
E-0334,GHA-24,entra
E-0335,GHA-21,sale
E-0335,GHA-19,entra
E-0336,ENG-3,sale
E-0336,ENG-25,entra
E-0337,ENG-13,sale
E-0337,ENG-14,entra
E-0338,GHA-14,sale
E-0338,GHA-16,entra
E-0339,ENG-21,sale
E-0339,ENG-24,entra
E-0340,GHA-5,sale
E-0340,GHA-6,entra
E-0341,PAN-3,amonestado
E-0342,CRO-4,amonestado
E-0343,PAN-19,autor
E-0344,CRO-16,sale
E-0344,CRO-9,entra
E-0345,CRO-2,sale
E-0345,CRO-8,entra
E-0346,CRO-6,sale
E-0346,CRO-7,entra
E-0347,PAN-2,sale
E-0347,PAN-7,entra
E-0348,PAN-5,sale
E-0348,PAN-9,entra
E-0349,PAN-11,sale
E-0349,PAN-18,entra
E-0350,PAN-22,sale
E-0350,PAN-24,entra
E-0351,PAN-4,sale
E-0351,PAN-6,entra
E-0352,PAN-19,amonestado
E-0353,PAN-16,amonestado
E-0354,CRO-26,autor
E-0355,ITA-26,autor
E-0356,ITA-18,autor
E-0356,ITA-11,asistencia
E-0357,ITA-26,autor
E-0357,ITA-20,asistencia
E-0358,CHN-2,autor
E-0358,CHN-14,asistencia
E-0359,ITA-5,amonestado
E-0360,CHN-22,sale
E-0360,CHN-9,entra
E-0361,ITA-18,sale
E-0361,ITA-6,entra
E-0362,CHN-13,sale
E-0362,CHN-11,entra
E-0363,ITA-11,sale
E-0363,ITA-10,entra
E-0364,ITA-5,sale
E-0364,ITA-9,entra
E-0365,CHN-14,sale
E-0365,CHN-3,entra
E-0366,ITA-2,sale
E-0366,ITA-13,entra
E-0367,CHN-3,amonestado
E-0368,CHN-7,sale
E-0368,CHN-16,entra
E-0369,NGA-22,autor
E-0369,NGA-10,asistencia
E-0370,CHI-4,amonestado
E-0371,CHI-26,autor
E-0371,CHI-10,asistencia
E-0372,NGA-3,amonestado
E-0373,CHI-21,autor
E-0373,CHI-5,asistencia
E-0374,CHI-22,sale
E-0374,CHI-20,entra
E-0375,CHI-3,sale
E-0375,CHI-19,entra
E-0376,NGA-10,amonestado
E-0377,CHI-10,sale
E-0377,CHI-18,entra
E-0378,NGA-22,sale
E-0378,NGA-19,entra
E-0379,CHI-14,sale
E-0379,CHI-13,entra
E-0380,NGA-21,sale
E-0380,NGA-25,entra
E-0381,CHI-5,amonestado
E-0382,CHI-4,autor
E-0383,NGA-2,sale
E-0383,NGA-8,entra
E-0384,CHI-18,amonestado
E-0385,DEN-22,amonestado
E-0386,DEN-2,autor
E-0386,DEN-14,asistencia
E-0387,CMR-18,amonestado
E-0388,DEN-25,autor
E-0388,DEN-11,asistencia
E-0389,DEN-11,amonestado
E-0390,CMR-3,amonestado
E-0391,CMR-8,sale
E-0391,CMR-19,entra
E-0392,DEN-20,sale
E-0392,DEN-26,entra
E-0393,CMR-5,sale
E-0393,CMR-7,entra
E-0394,DEN-11,sale
E-0394,DEN-15,entra
E-0395,DEN-15,autor
E-0396,CMR-18,sale
E-0396,CMR-24,entra
E-0397,CMR-20,sale
E-0397,CMR-22,entra
E-0398,DEN-4,sale
E-0398,DEN-24,entra
E-0399,DEN-25,sale
E-0399,DEN-16,entra
E-0400,CMR-3,sale
E-0400,CMR-4,entra
E-0401,DEN-3,autor
E-0402,WAL-17,amonestado
E-0403,PER-3,amonestado
E-0404,WAL-7,sale
E-0404,WAL-8,entra
E-0405,WAL-14,sale
E-0405,WAL-13,entra
E-0406,WAL-25,sale
E-0406,WAL-9,entra
E-0407,PER-3,sale
E-0407,PER-8,entra
E-0408,PER-21,sale
E-0408,PER-26,entra
E-0409,PER-5,sale
E-0409,PER-4,entra
E-0410,WAL-17,sale
E-0410,WAL-16,entra
E-0411,WAL-5,sale
E-0411,WAL-18,entra
E-0412,WAL-20,autor
E-0413,WAL-22,autor
E-0414,POL-11,amonestado
E-0415,MLI-13,amonestado
E-0416,MLI-11,amonestado
E-0417,MLI-20,sale
E-0417,MLI-15,entra
E-0418,MLI-3,sale
E-0418,MLI-9,entra
E-0419,MLI-10,sale
E-0419,MLI-14,entra
E-0420,POL-5,sale
E-0420,POL-18,entra
E-0421,POL-13,sale
E-0421,POL-14,entra
E-0422,POL-25,sale
E-0422,POL-26,entra
E-0423,POL-20,sale
E-0423,POL-8,entra
E-0424,POL-7,sale
E-0424,POL-9,entra
E-0425,POL-18,amonestado
E-0426,VEN-15,amonestado
E-0427,CRC-24,amonestado
E-0428,CRC-5,amonestado
E-0429,VEN-4,amonestado
E-0430,VEN-15,autor
E-0431,VEN-10,autor
E-0432,VEN-24,autor
E-0432,VEN-11,asistencia
E-0433,CRC-14,autor
E-0433,CRC-13,asistencia
E-0434,CRC-6,amonestado
E-0435,CRC-4,sale
E-0435,CRC-3,entra
E-0436,VEN-20,sale
E-0436,VEN-19,entra
E-0437,CRC-14,sale
E-0437,CRC-7,entra
E-0438,VEN-10,sale
E-0438,VEN-18,entra
E-0439,CRC-5,sale
E-0439,CRC-9,entra
E-0440,CRC-13,sale
E-0440,CRC-17,entra
E-0441,VEN-24,sale
E-0441,VEN-17,entra
E-0442,VEN-25,sale
E-0442,VEN-14,entra
E-0443,CRC-19,sale
E-0443,CRC-22,entra
E-0444,VEN-4,sale
E-0444,VEN-9,entra
E-0445,CRC-2,expulsado
E-0446,NCL-21,amonestado
E-0447,UKR-13,amonestado
E-0448,UKR-7,sale
E-0448,UKR-9,entra
E-0449,NCL-10,sale
E-0449,NCL-24,entra
E-0450,NCL-4,sale
E-0450,NCL-8,entra
E-0451,UKR-22,sale
E-0451,UKR-25,entra
E-0452,UKR-2,sale
E-0452,UKR-4,entra
E-0453,NCL-11,sale
E-0453,NCL-25,entra
E-0454,UKR-9,autor
E-0454,UKR-21,asistencia
E-0455,UKR-5,sale
E-0455,UKR-6,entra
E-0456,NCL-3,sale
E-0456,NCL-2,entra
E-0457,UKR-6,amonestado
E-0458,UKR-20,autor
E-0459,NCL-21,sale
E-0459,NCL-7,entra
E-0460,UKR-10,amonestado
E-0461,SRB-10,amonestado
E-0462,SRB-21,sale
E-0462,SRB-4,entra
E-0463,OMA-11,sale
E-0463,OMA-21,entra
E-0464,OMA-10,sale
E-0464,OMA-24,entra
E-0465,SRB-22,sale
E-0465,SRB-14,entra
E-0466,SRB-5,sale
E-0466,SRB-8,entra
E-0467,OMA-4,sale
E-0467,OMA-6,entra
E-0468,SRB-13,sale
E-0468,SRB-18,entra
E-0469,OMA-24,autor
E-0470,OMA-1,amonestado
E-0471,MEX-24,autor
E-0471,MEX-11,asistencia
E-0472,MEX-22,autor
E-0473,RSA-6,sale
E-0473,RSA-18,entra
E-0474,RSA-4,sale
E-0474,RSA-15,entra
E-0475,MEX-22,sale
E-0475,MEX-25,entra
E-0476,RSA-13,sale
E-0476,RSA-17,entra
E-0477,RSA-21,autor
E-0477,RSA-17,asistencia
E-0478,RSA-25,autor
E-0478,RSA-16,asistencia
E-0479,MEX-11,sale
E-0479,MEX-14,entra
E-0480,MEX-5,amonestado
E-0481,MEX-5,sale
E-0481,MEX-8,entra
E-0482,MEX-21,sale
E-0482,MEX-20,entra
E-0483,MEX-3,amonestado
E-0484,MEX-13,autor
E-0484,MEX-6,asistencia
E-0485,CZE-2,amonestado
E-0486,KOR-16,sale
E-0486,KOR-13,entra
E-0487,KOR-20,sale
E-0487,KOR-24,entra
E-0488,CZE-6,sale
E-0488,CZE-16,entra
E-0489,KOR-3,sale
E-0489,KOR-8,entra
E-0490,CZE-14,sale
E-0490,CZE-21,entra
E-0491,CZE-24,sale
E-0491,CZE-25,entra
E-0492,KOR-14,sale
E-0492,KOR-11,entra
E-0493,KOR-22,sale
E-0493,KOR-25,entra
E-0494,CZE-22,sale
E-0494,CZE-18,entra
E-0495,KOR-10,amonestado
E-0496,KOR-2,amonestado
E-0497,KOR-11,amonestado
E-0498,CZE-10,sale
E-0498,CZE-19,entra
E-0499,CZE-18,amonestado
E-0500,SUI-22,autor
E-0500,SUI-10,asistencia
E-0501,QAT-25,autor
E-0501,QAT-10,asistencia
E-0502,QAT-3,sale
E-0502,QAT-5,entra
E-0503,QAT-10,sale
E-0503,QAT-19,entra
E-0504,SUI-4,sale
E-0504,SUI-9,entra
E-0505,SUI-11,sale
E-0505,SUI-7,entra
E-0506,QAT-6,sale
E-0506,QAT-24,entra
E-0507,SUI-21,sale
E-0507,SUI-20,entra
E-0508,QAT-14,sale
E-0508,QAT-18,entra
E-0509,QAT-25,sale
E-0509,QAT-22,entra
E-0510,SUI-6,sale
E-0510,SUI-5,entra
E-0511,QAT-18,amonestado
E-0512,SUI-25,sale
E-0512,SUI-26,entra
E-0513,SUI-22,autor
E-0513,SUI-20,asistencia
E-0514,QAT-19,amonestado
E-0515,BIH-19,amonestado
E-0516,BIH-5,amonestado
E-0517,BIH-16,amonestado
E-0518,BIH-4,amonestado
E-0519,CAN-25,sale
E-0519,CAN-8,entra
E-0520,CAN-5,sale
E-0520,CAN-24,entra
E-0521,CAN-6,sale
E-0521,CAN-3,entra
E-0522,BIH-3,sale
E-0522,BIH-15,entra
E-0523,CAN-22,sale
E-0523,CAN-15,entra
E-0524,BIH-19,sale
E-0524,BIH-14,entra
E-0525,BIH-16,sale
E-0525,BIH-18,entra
E-0526,BIH-4,sale
E-0526,BIH-11,entra
E-0527,BIH-22,autor
E-0527,BIH-11,asistencia
E-0528,BIH-13,amonestado
E-0529,BIH-13,expulsado
E-0530,SCO-11,amonestado
E-0531,BRA-10,amonestado
E-0532,SCO-7,autor
E-0532,SCO-20,asistencia
E-0533,SCO-20,sale
E-0533,SCO-13,entra
E-0534,SCO-21,sale
E-0534,SCO-16,entra
E-0535,BRA-20,autor
E-0535,BRA-7,asistencia
E-0536,BRA-20,sale
E-0536,BRA-25,entra
E-0537,BRA-4,sale
E-0537,BRA-26,entra
E-0538,SCO-10,sale
E-0538,SCO-17,entra
E-0539,BRA-7,sale
E-0539,BRA-3,entra
E-0540,BRA-21,sale
E-0540,BRA-9,entra
E-0541,BRA-5,expulsado
E-0542,MAR-3,autor
E-0543,MAR-2,amonestado
E-0544,MAR-20,autor
E-0544,MAR-6,asistencia
E-0545,MAR-6,amonestado
E-0546,MAR-3,amonestado
E-0547,HAI-22,sale
E-0547,HAI-16,entra
E-0548,MAR-2,sale
E-0548,MAR-7,entra
E-0549,MAR-15,sale
E-0549,MAR-13,entra
E-0550,MAR-7,autor
E-0550,MAR-10,asistencia
E-0551,HAI-20,sale
E-0551,HAI-3,entra
E-0552,MAR-6,sale
E-0552,MAR-16,entra
E-0553,HAI-21,sale
E-0553,HAI-9,entra
E-0554,MAR-14,autor
E-0554,MAR-16,asistencia
E-0555,MAR-14,amonestado
E-0556,AUS-22,autor
E-0556,AUS-10,asistencia
E-0557,USA-6,amonestado
E-0558,USA-7,sale
E-0558,USA-4,entra
E-0559,AUS-4,sale
E-0559,AUS-20,entra
E-0560,USA-6,sale
E-0560,USA-26,entra
E-0561,AUS-5,sale
E-0561,AUS-19,entra
E-0562,USA-19,sale
E-0562,USA-11,entra
E-0563,USA-3,sale
E-0563,USA-25,entra
E-0564,AUS-24,sale
E-0564,AUS-6,entra
E-0565,AUS-14,sale
E-0565,AUS-16,entra
E-0566,AUS-3,sale
E-0566,AUS-9,entra
E-0567,USA-21,sale
E-0567,USA-17,entra
E-0568,AUS-21,amonestado
E-0569,PAR-2,amonestado
E-0570,PAR-4,amonestado
E-0571,TUR-22,autor
E-0571,TUR-4,asistencia
E-0572,PAR-14,sale
E-0572,PAR-16,entra
E-0573,PAR-20,sale
E-0573,PAR-8,entra
E-0574,TUR-21,sale
E-0574,TUR-26,entra
E-0575,TUR-20,sale
E-0575,TUR-24,entra
E-0576,PAR-7,sale
E-0576,PAR-26,entra
E-0577,TUR-6,sale
E-0577,TUR-13,entra
E-0578,TUR-10,sale
