id,nombre,apellido,posicion,equipo_id
AUT-20,Mateo,Fischer,Delantero,AUT
AUT-21,Thomas,Novak,Delantero,AUT
AUT-22,Jonas,Andersen,Delantero,AUT
AUT-23,Viktor,Hansen,Arquero,AUT
AUT-24,Andreas,Moreau,Delantero,AUT
AUT-25,Sergio,Vidal,Delantero,AUT
AUT-26,Mateo,Petrov,Delantero,AUT
BEL-1,Thomas,Moreau,Arquero,BEL
BEL-2,Viktor,Bakker,Defensor,BEL
BEL-3,Sergio,Weber,Defensor,BEL
BEL-4,Daniel,Marino,Defensor,BEL
BEL-5,Marco,Weber,Defensor,BEL
BEL-6,Robin,Larsson,Defensor,BEL
BEL-7,Thomas,Duarte,Defensor,BEL
BEL-8,Viktor,Weber,Defensor,BEL
BEL-9,Marco,Vidal,Defensor,BEL
BEL-10,Mateo,Marino,Mediocampista,BEL
BEL-11,Daniel,Larsson,Mediocampista,BEL
BEL-12,Viktor,Bianchi,Arquero,BEL
BEL-13,Rafael,Nowak,Mediocampista,BEL
BEL-14,Pavel,Marino,Mediocampista,BEL
BEL-15,Jonas,Weber,Mediocampista,BEL
BEL-16,Antoine,Andersen,Mediocampista,BEL
BEL-17,Pavel,Kaminski,Mediocampista,BEL
BEL-18,Rafael,Hansen,Mediocampista,BEL
BEL-19,Rafael,Fischer,Mediocampista,BEL
BEL-20,Milan,Weber,Delantero,BEL
BEL-21,Emil,Horvat,Delantero,BEL
BEL-22,Kristian,Fischer,Delantero,BEL
BEL-23,Antoine,Larsson,Arquero,BEL
BEL-24,Kristian,Rossi,Delantero,BEL
BEL-25,Stefan,Duarte,Delantero,BEL
BEL-26,Stefan,Rossi,Delantero,BEL
BIH-1,Marco,Novak,Arquero,BIH
BIH-2,Pavel,Muller,Defensor,BIH
BIH-3,Julian,Bianchi,Defensor,BIH
BIH-4,Antoine,Silva,Defensor,BIH
BIH-5,Julian,Fischer,Defensor,BIH
BIH-6,Andreas,Novak,Defensor,BIH
BIH-7,Mateo,Larsson,Defensor,BIH
BIH-8,Andreas,Marino,Defensor,BIH
BIH-9,Emil,Muller,Defensor,BIH
BIH-10,Rafael,Marino,Mediocampista,BIH
BIH-11,Daniel,Horvat,Mediocampista,BIH
BIH-12,Lucas,Hansen,Arquero,BIH
BIH-13,Robin,Kaminski,Mediocampista,BIH
BIH-14,Rafael,Silva,Mediocampista,BIH
BIH-15,Stefan,Muller,Mediocampista,BIH
BIH-16,Leon,Bakker,Mediocampista,BIH
BIH-17,Nicolas,Nowak,Mediocampista,BIH
BIH-18,Antoine,Petrov,Mediocampista,BIH
BIH-19,Emil,Petrov,Mediocampista,BIH
BIH-20,Marco,Moreau,Delantero,BIH
BIH-21,Pavel,Duarte,Delantero,BIH
BIH-22,Stefan,Novak,Delantero,BIH
BIH-23,Rafael,Hansen,Arquero,BIH
BIH-24,Jonas,Novak,Delantero,BIH
BIH-25,Thomas,Andersen,Delantero,BIH
BIH-26,Jonas,Duarte,Delantero,BIH
BRA-1,Camilo,Rojas,Arquero,BRA
BRA-2,Emiliano,Bustos,Defensor,BRA
BRA-3,Maximiliano,Ocampo,Defensor,BRA
BRA-4,Facundo,Bermudez,Defensor,BRA
BRA-5,Franco,Quiroga,Defensor,BRA
BRA-6,Nahuel,Maldonado,Defensor,BRA
BRA-7,Maximiliano,Zambrano,Defensor,BRA
BRA-8,Gonzalo,Gimenez,Defensor,BRA
BRA-9,Renato,Castillo,Defensor,BRA
BRA-10,Matias,Ferreira,Mediocampista,BRA
BRA-11,Gonzalo,Bustos,Mediocampista,BRA
BRA-12,Diego,Ferreira,Arquero,BRA
BRA-13,Gonzalo,Ocampo,Mediocampista,BRA
BRA-14,Agustin,Castillo,Mediocampista,BRA
BRA-15,Santiago,Villalba,Mediocampista,BRA
BRA-16,Facundo,Maldonado,Mediocampista,BRA
BRA-17,Bruno,Ocampo,Mediocampista,BRA
BRA-18,Franco,Bermudez,Mediocampista,BRA
BRA-19,Thiago,Zambrano,Mediocampista,BRA
BRA-20,Thiago,Ocampo,Delantero,BRA
BRA-21,Thiago,Ferreira,Delantero,BRA
BRA-22,Gonzalo,Cabrera,Delantero,BRA
BRA-23,Maximiliano,Peralta,Arquero,BRA
BRA-24,Renato,Meireles,Delantero,BRA
BRA-25,Ignacio,Cabrera,Delantero,BRA
BRA-26,Ezequiel,Peralta,Delantero,BRA
CAN-1,Bryan,Vargas,Arquero,CAN
CAN-2,Luis,Ortega,Defensor,CAN
CAN-3,Andres,Mendoza,Defensor,CAN
CAN-4,Marlon,Mendoza,Defensor,CAN
CAN-5,Pierre,Espinoza,Defensor,CAN
CAN-6,Manuel,Ramirez,Defensor,CAN
CAN-7,Nelson,Jean-Louis,Defensor,CAN
CAN-8,Pierre,Vargas,Defensor,CAN
CAN-9,Roberto,Ramirez,Defensor,CAN
CAN-10,Eduardo,Solano,Mediocampista,CAN
CAN-11,Jean,Vargas,Mediocampista,CAN
CAN-12,Alexis,Hernandez,Arquero,CAN
CAN-13,Anthony,Serrano,Mediocampista,CAN
CAN-14,Eduardo,Coronado,Mediocampista,CAN
CAN-15,Bryan,Ramirez,Mediocampista,CAN
CAN-16,Luis,Reyes,Mediocampista,CAN
CAN-17,Ricardo,Lafleur,Mediocampista,CAN
CAN-18,Bryan,Guzman,Mediocampista,CAN
CAN-19,Nelson,Ortega,Mediocampista,CAN
CAN-20,Eduardo,Delgado,Delantero,CAN
CAN-21,Bryan,Reyes,Delantero,CAN
CAN-22,Kevin,Coronado,Delantero,CAN
CAN-23,Hector,Guzman,Arquero,CAN
CAN-24,Hector,Serrano,Delantero,CAN
CAN-25,Manuel,Serrano,Delantero,CAN
CAN-26,Roberto,Reyes,Delantero,CAN
CHI-1,Bruno,Meireles,Arquero,CHI
CHI-2,Joaquin,Rojas,Defensor,CHI
CHI-3,Santiago,Rojas,Defensor,CHI
CHI-4,Camilo,Maldonado,Defensor,CHI
CHI-5,Emiliano,Escobar,Defensor,CHI
CHI-6,Rodrigo,Castillo,Defensor,CHI
CHI-7,Agustin,Escobar,Defensor,CHI
CHI-8,Bruno,Escobar,Defensor,CHI
CHI-9,Franco,Zambrano,Defensor,CHI
CHI-10,Julio,Bustos,Mediocampista,CHI
CHI-11,Julio,Cardozo,Mediocampista,CHI
CHI-12,Joaquin,Meireles,Arquero,CHI
CHI-13,Julio,Escobar,Mediocampista,CHI
CHI-14,Matias,Aguilera,Mediocampista,CHI
CHI-15,Nahuel,Peralta,Mediocampista,CHI
CHI-16,Agustin,Rojas,Mediocampista,CHI
CHI-17,Thiago,Maldonado,Mediocampista,CHI
CHI-18,Matias,Barrios,Mediocampista,CHI
CHI-19,Diego,Cabrera,Mediocampista,CHI
CHI-20,Santiago,Sandoval,Delantero,CHI
CHI-21,Nahuel,Quiroga,Delantero,CHI
CHI-22,Diego,Cardozo,Delantero,CHI
CHI-23,Thiago,Bermudez,Arquero,CHI
CHI-24,Ezequiel,Barrios,Delantero,CHI
CHI-25,Camilo,Bustos,Delantero,CHI
CHI-26,Julio,Peralta,Delantero,CHI
CHN-1,Omar,Choi,Arquero,CHN
CHN-2,Jihoon,Watanabe,Defensor,CHN
CHN-3,Ahmad,Tanaka,Defensor,CHN
CHN-4,Minjun,Abbas,Defensor,CHN
CHN-5,Omar,Lee,Defensor,CHN
CHN-6,Sora,Abbas,Defensor,CHN
CHN-7,Karim,Saito,Defensor,CHN
CHN-8,Karim,Al Mansouri,Defensor,CHN
CHN-9,Seojun,Park,Defensor,CHN
CHN-10,Haruki,Kim,Mediocampista,CHN
CHN-11,Seojun,Choi,Mediocampista,CHN
CHN-12,Omar,Aziz,Arquero,CHN
CHN-13,Jihoon,Jang,Mediocampista,CHN
CHN-14,Seojun,Al Harbi,Mediocampista,CHN
CHN-15,Nasser,Park,Mediocampista,CHN
CHN-16,Bilal,Abbas,Mediocampista,CHN
CHN-17,Haruki,Hosseini,Mediocampista,CHN
CHN-18,Bilal,Aziz,Mediocampista,CHN
CHN-19,Takumi,Ito,Mediocampista,CHN
CHN-20,Omar,Shin,Delantero,CHN
CHN-21,Hassan,Shin,Delantero,CHN
CHN-22,Faisal,Hosseini,Delantero,CHN
CHN-23,Karim,Yamamoto,Arquero,CHN
CHN-24,Yusuf,Tanaka,Delantero,CHN
CHN-25,Bilal,Al Harbi,Delantero,CHN
CHN-26,Seojun,Al Mansouri,Delantero,CHN
CIV-1,Idrissa,Traore,Arquero,CIV
CIV-2,Sekou,Sylla,Defensor,CIV
CIV-3,Ibrahim,Mensah,Defensor,CIV
CIV-4,Nabil,Toure,Defensor,CIV
CIV-5,Rachid,Bamba,Defensor,CIV
CIV-6,Oumar,Zerhouni,Defensor,CIV
CIV-7,Cheikh,Toure,Defensor,CIV
CIV-8,Idrissa,Mokoena,Defensor,CIV
CIV-9,Kwame,Mensah,Defensor,CIV
CIV-10,Oumar,Diallo,Mediocampista,CIV
CIV-11,Kofi,Zerhouni,Mediocampista,CIV
CIV-12,Youssef,Adeyemi,Arquero,CIV
CIV-13,Zola,Keita,Mediocampista,CIV
CIV-14,Hicham,Bamba,Mediocampista,CIV
CIV-15,Tarek,Mensah,Mediocampista,CIV
CIV-16,Idrissa,Osei,Mediocampista,CIV
CIV-17,Mamadou,Osei,Mediocampista,CIV
CIV-18,Cheikh,Benali,Mediocampista,CIV
CIV-19,Kofi,Camara,Mediocampista,CIV
CIV-20,Oumar,Adeyemi,Delantero,CIV
CIV-21,Oumar,Cisse,Delantero,CIV
CIV-22,Ibrahim,Benali,Delantero,CIV
CIV-23,Amadou,Traore,Arquero,CIV
CIV-24,Youssef,Zerhouni,Delantero,CIV
CIV-25,Bakary,Mensah,Delantero,CIV
CIV-26,Chiedozie,Dube,Delantero,CIV
CMR-1,Tarek,Bamba,Arquero,CMR
CMR-2,Sekou,Osei,Defensor,CMR
CMR-3,Ayoub,Cisse,Defensor,CMR
CMR-4,Oumar,Bamba,Defensor,CMR
CMR-5,Hicham,Bekele,Defensor,CMR
CMR-6,Kofi,Zerhouni,Defensor,CMR
CMR-7,Ayoub,Boateng,Defensor,CMR
CMR-8,Tendai,Adeyemi,Defensor,CMR
CMR-9,Hicham,Mensah,Defensor,CMR
CMR-10,Youssef,Osei,Mediocampista,CMR
CMR-11,Zola,Keita,Mediocampista,CMR
CMR-12,Mamadou,Benali,Arquero,CMR
CMR-13,Ibrahim,Haddad,Mediocampista,CMR
CMR-14,Sekou,Traore,Mediocampista,CMR
CMR-15,Tendai,Boateng,Mediocampista,CMR
CMR-16,Kofi,Mokoena,Mediocampista,CMR
CMR-17,Sekou,Cisse,Mediocampista,CMR
CMR-18,Kofi,Traore,Mediocampista,CMR
CMR-19,Cheikh,Bamba,Mediocampista,CMR
CMR-20,Youssef,Zerhouni,Delantero,CMR
CMR-21,Cheikh,Diallo,Delantero,CMR
CMR-22,Idrissa,Haddad,Delantero,CMR
CMR-23,Sipho,Ndiaye,Arquero,CMR
CMR-24,Mamadou,Dube,Delantero,CMR
CMR-25,Ayoub,Sylla,Delantero,CMR
CMR-26,Cheikh,Camara,Delantero,CMR
COD-1,Kofi,Diallo,Arquero,COD
COD-2,Idrissa,Mensah,Defensor,COD
COD-3,Rachid,Bekele,Defensor,COD
COD-4,Youssef,Bamba,Defensor,COD
COD-5,Hicham,Nkemelu,Defensor,COD
COD-6,Kofi,Nkemelu,Defensor,COD
COD-7,Tendai,Dube,Defensor,COD
COD-8,Ibrahim,Toure,Defensor,COD
COD-9,Kwame,Ndiaye,Defensor,COD
COD-10,Tarek,Cisse,Mediocampista,COD
COD-11,Mamadou,Cisse,Mediocampista,COD
COD-12,Sipho,Mokoena,Arquero,COD
COD-13,Nabil,Bamba,Mediocampista,COD
COD-14,Ayoub,Keita,Mediocampista,COD
COD-15,Sekou,Mensah,Mediocampista,COD
COD-16,Bakary,Bamba,Mediocampista,COD
COD-17,Youssef,Mokoena,Mediocampista,COD
COD-18,Idrissa,Toure,Mediocampista,COD
COD-19,Idrissa,Nkemelu,Mediocampista,COD
COD-20,Ibrahim,Haddad,Delantero,COD
COD-21,Ibrahim,Osei,Delantero,COD
COD-22,Hicham,Mensah,Delantero,COD
COD-23,Kwame,Bekele,Arquero,COD
COD-24,Sekou,Adeyemi,Delantero,COD
COD-25,Ayoub,Toure,Delantero,COD
COD-26,Hicham,Dube,Delantero,COD
COL-1,Gonzalo,Ocampo,Arquero,COL
COL-2,Franco,Bermudez,Defensor,COL
COL-3,Camilo,Barrios,Defensor,COL
COL-4,Diego,Cabrera,Defensor,COL
COL-5,Ezequiel,Rojas,Defensor,COL
COL-6,Nahuel,Bustos,Defensor,COL
COL-7,Agustin,Bustos,Defensor,COL
COL-8,Matias,Quiroga,Defensor,COL
COL-9,Facundo,Escobar,Defensor,COL
COL-10,Gonzalo,Sandoval,Mediocampista,COL
COL-11,Diego,Gimenez,Mediocampista,COL
COL-12,Alvaro,Escobar,Arquero,COL
COL-13,Rodrigo,Cabrera,Mediocampista,COL
COL-14,Franco,Gimenez,Mediocampista,COL
COL-15,Ignacio,Quiroga,Mediocampista,COL
COL-16,Facundo,Bermudez,Mediocampista,COL
COL-17,Ignacio,Gimenez,Mediocampista,COL
COL-18,Camilo,Cardozo,Mediocampista,COL
COL-19,Joaquin,Bermudez,Mediocampista,COL
COL-20,Joaquin,Rojas,Delantero,COL
COL-21,Nahuel,Meireles,Delantero,COL
COL-22,Matias,Sandoval,Delantero,COL
COL-23,Facundo,Villalba,Arquero,COL
COL-24,Diego,Aguilera,Delantero,COL
COL-25,Alvaro,Cardozo,Delantero,COL
COL-26,Ignacio,Maldonado,Delantero,COL
CPV-1,Kwame,Sylla,Arquero,CPV
CPV-2,Oumar,Mokoena,Defensor,CPV
CPV-3,Tendai,Bekele,Defensor,CPV
CPV-4,Chiedozie,Camara,Defensor,CPV
CPV-5,Oumar,Mensah,Defensor,CPV
CPV-6,Sekou,Adeyemi,Defensor,CPV
CPV-7,Mamadou,Camara,Defensor,CPV
CPV-8,Ibrahim,Mokoena,Defensor,CPV
CPV-9,Kofi,Mensah,Defensor,CPV
CPV-10,Sipho,Diallo,Mediocampista,CPV
CPV-11,Ibrahim,Boateng,Mediocampista,CPV
CPV-12,Amadou,Dube,Arquero,CPV
CPV-13,Cheikh,Benali,Mediocampista,CPV
CPV-14,Zola,Haddad,Mediocampista,CPV
CPV-15,Tendai,Benali,Mediocampista,CPV
CPV-16,Tarek,Boateng,Mediocampista,CPV
CPV-17,Mamadou,Mokoena,Mediocampista,CPV
CPV-18,Ibrahim,Diallo,Mediocampista,CPV
CPV-19,Oumar,Keita,Mediocampista,CPV
CPV-20,Amadou,Adeyemi,Delantero,CPV
CPV-21,Cheikh,Adeyemi,Delantero,CPV
CPV-22,Oumar,Camara,Delantero,CPV
CPV-23,Idrissa,Diallo,Arquero,CPV
CPV-24,Rachid,Haddad,Delantero,CPV
CPV-25,Nabil,Haddad,Delantero,CPV
CPV-26,Ayoub,Keita,Delantero,CPV
CRC-1,Marlon,Delgado,Arquero,CRC
CRC-2,Osvaldo,Salazar,Defensor,CRC
CRC-3,Eduardo,Delgado,Defensor,CRC
CRC-4,Kevin,Ramirez,Defensor,CRC
CRC-5,Jorge,Salazar,Defensor,CRC
CRC-6,Anthony,Jean-Louis,Defensor,CRC
CRC-7,Osvaldo,Baptiste,Defensor,CRC
CRC-8,Jean,Ramirez,Defensor,CRC
CRC-9,Hector,Navarro,Defensor,CRC
CRC-10,Pierre,Delgado,Mediocampista,CRC
CRC-11,Luis,Guzman,Mediocampista,CRC
CRC-12,Eduardo,Campbell,Arquero,CRC
CRC-13,Wilfried,Navarro,Mediocampista,CRC
CRC-14,Pierre,Vargas,Mediocampista,CRC
CRC-15,Roberto,Mendoza,Mediocampista,CRC
CRC-16,Damian,Ortega,Mediocampista,CRC
CRC-17,Osvaldo,Ramirez,Mediocampista,CRC
CRC-18,Bryan,Coronado,Mediocampista,CRC
CRC-19,Anthony,Coronado,Mediocampista,CRC
CRC-20,Marlon,Ramirez,Delantero,CRC
CRC-21,Nelson,Pierre,Delantero,CRC
CRC-22,Alexis,Ramirez,Delantero,CRC
CRC-23,Pierre,Solano,Arquero,CRC
CRC-24,Andres,Espinoza,Delantero,CRC
CRC-25,Luis,Navarro,Delantero,CRC
CRC-26,Carlos,Navarro,Delantero,CRC
CRO-1,Jonas,Muller,Arquero,CRO
CRO-2,Thomas,Moreau,Defensor,CRO
CRO-3,Marco,Larsson,Defensor,CRO
CRO-4,Stefan,Hansen,Defensor,CRO
CRO-5,Milan,Kaminski,Defensor,CRO
CRO-6,Sergio,Vidal,Defensor,CRO
CRO-7,Stefan,Weber,Defensor,CRO
CRO-8,Stefan,Silva,Defensor,CRO
CRO-9,Robin,Fischer,Defensor,CRO
CRO-10,Leon,Rossi,Mediocampista,CRO
CRO-11,Viktor,Nowak,Mediocampista,CRO
CRO-12,Emil,Silva,Arquero,CRO
CRO-13,Emil,Petrov,Mediocampista,CRO
CRO-14,Julian,Andersen,Mediocampista,CRO
CRO-15,Marco,Horvat,Mediocampista,CRO
CRO-16,Daniel,Weber,Mediocampista,CRO
CRO-17,Pavel,Vidal,Mediocampista,CRO
CRO-18,Sergio,Hansen,Mediocampista,CRO
CRO-19,Julian,Kaminski,Mediocampista,CRO
CRO-20,Milan,Hansen,Delantero,CRO
CRO-21,Andreas,Bianchi,Delantero,CRO
CRO-22,Daniel,Andersen,Delantero,CRO
CRO-23,Pavel,Bianchi,Arquero,CRO
CRO-24,Stefan,Horvat,Delantero,CRO
CRO-25,Antoine,Novak,Delantero,CRO
CRO-26,Antoine,Hansen,Delantero,CRO
CUW-1,Alexis,Mendoza,Arquero,CUW
CUW-2,Hector,Ramirez,Defensor,CUW
CUW-3,Kevin,Navarro,Defensor,CUW
CUW-4,Eduardo,Lafleur,Defensor,CUW
CUW-5,Nelson,Jean-Louis,Defensor,CUW
CUW-6,Roberto,Delgado,Defensor,CUW
CUW-7,Marlon,Coronado,Defensor,CUW
CUW-8,Jorge,Lafleur,Defensor,CUW
CUW-9,Hector,Delgado,Defensor,CUW
CUW-10,Ricardo,Lafleur,Mediocampista,CUW
CUW-11,Carlos,Baptiste,Mediocampista,CUW
CUW-12,Marlon,Baptiste,Arquero,CUW
CUW-13,Nelson,Campbell,Mediocampista,CUW
CUW-14,Damian,Hernandez,Mediocampista,CUW
CUW-15,Manuel,Baptiste,Mediocampista,CUW
CUW-16,Manuel,Hernandez,Mediocampista,CUW
CUW-17,Anthony,Ramirez,Mediocampista,CUW
CUW-18,Damian,Solano,Mediocampista,CUW
CUW-19,Marlon,Navarro,Mediocampista,CUW
CUW-20,Ricardo,Charles,Delantero,CUW
CUW-21,Andres,Solano,Delantero,CUW
CUW-22,Eduardo,Pierre,Delantero,CUW
CUW-23,Anthony,Serrano,Arquero,CUW
CUW-24,Jean,Ramirez,Delantero,CUW
CUW-25,Eduardo,Salazar,Delantero,CUW
CUW-26,Hector,Mendoza,Delantero,CUW
CZE-1,Stefan,Duarte,Arquero,CZE
CZE-2,Andreas,Weber,Defensor,CZE
CZE-3,Viktor,Novak,Defensor,CZE
CZE-4,Jonas,Hansen,Defensor,CZE
CZE-5,Stefan,Kovacs,Defensor,CZE
CZE-6,Stefan,Rossi,Defensor,CZE
CZE-7,Daniel,Bakker,Defensor,CZE
CZE-8,Kristian,Hansen,Defensor,CZE
CZE-9,Viktor,Silva,Defensor,CZE
CZE-10,Pavel,Horvat,Mediocampista,CZE
CZE-11,Nicolas,Bianchi,Mediocampista,CZE
CZE-12,Mateo,Nowak,Arquero,CZE
CZE-13,Robin,Horvat,Mediocampista,CZE
CZE-14,Lucas,Novak,Mediocampista,CZE
CZE-15,Kristian,Marino,Mediocampista,CZE
CZE-16,Pavel,Fischer,Mediocampista,CZE
CZE-17,Julian,Silva,Mediocampista,CZE
CZE-18,Viktor,Andersen,Mediocampista,CZE
CZE-19,Emil,Andersen,Mediocampista,CZE
CZE-20,Thomas,Kaminski,Delantero,CZE
CZE-21,Thomas,Vidal,Delantero,CZE
CZE-22,Marco,Fischer,Delantero,CZE
CZE-23,Jonas,Moreau,Arquero,CZE
CZE-24,Lucas,Hansen,Delantero,CZE
CZE-25,Daniel,Silva,Delantero,CZE
CZE-26,Marco,Horvat,Delantero,CZE
DEN-1,Lucas,Bianchi,Arquero,DEN
DEN-2,Viktor,Andersen,Defensor,DEN
DEN-3,Mateo,Kovacs,Defensor,DEN
DEN-4,Kristian,Muller,Defensor,DEN
DEN-5,Nicolas,Weber,Defensor,DEN
DEN-6,Nicolas,Hansen,Defensor,DEN
DEN-7,Kristian,Weber,Defensor,DEN
DEN-8,Nicolas,Fischer,Defensor,DEN
DEN-9,Nicolas,Vidal,Defensor,DEN
DEN-10,Mateo,Novak,Mediocampista,DEN
DEN-11,Jonas,Kovacs,Mediocampista,DEN
DEN-12,Milan,Novak,Arquero,DEN
DEN-13,Rafael,Petrov,Mediocampista,DEN
DEN-14,Julian,Moreau,Mediocampista,DEN
DEN-15,Daniel,Marino,Mediocampista,DEN
DEN-16,Andreas,Rossi,Mediocampista,DEN
DEN-17,Andreas,Weber,Mediocampista,DEN
DEN-18,Thomas,Novak,Mediocampista,DEN
DEN-19,Julian,Kaminski,Mediocampista,DEN
DEN-20,Pavel,Horvat,Delantero,DEN
DEN-21,Daniel,Hansen,Delantero,DEN
DEN-22,Pavel,Kovacs,Delantero,DEN
DEN-23,Viktor,Kovacs,Arquero,DEN
DEN-24,Kristian,Bianchi,Delantero,DEN
DEN-25,Lucas,Horvat,Delantero,DEN
DEN-26,Nicolas,Petrov,Delantero,DEN
ECU-1,Maximiliano,Meireles,Arquero,ECU
ECU-2,Agustin,Rojas,Defensor,ECU
ECU-3,Renato,Zambrano,Defensor,ECU
ECU-4,Franco,Aguilera,Defensor,ECU
ECU-5,Agustin,Bustos,Defensor,ECU
ECU-6,Rodrigo,Meireles,Defensor,ECU
ECU-7,Thiago,Peralta,Defensor,ECU
ECU-8,Matias,Bermudez,Defensor,ECU
ECU-9,Emiliano,Cardozo,Defensor,ECU
ECU-10,Nahuel,Ocampo,Mediocampista,ECU
ECU-11,Matias,Meireles,Mediocampista,ECU
ECU-12,Joaquin,Castillo,Arquero,ECU
ECU-13,Facundo,Bustos,Mediocampista,ECU
ECU-14,Agustin,Cardozo,Mediocampista,ECU
ECU-15,Santiago,Villalba,Mediocampista,ECU
ECU-16,Facundo,Cabrera,Mediocampista,ECU
ECU-17,Renato,Peralta,Mediocampista,ECU
ECU-18,Agustin,Sandoval,Mediocampista,ECU
ECU-19,Diego,Ocampo,Mediocampista,ECU
ECU-20,Camilo,Meireles,Delantero,ECU
ECU-21,Maximiliano,Cardozo,Delantero,ECU
