id,fase,grupo,fecha,sede_id
P-089,Grupos,M,2030-06-24,S-11
P-090,Grupos,M,2030-06-24,S-12
P-091,Grupos,N,2030-06-24,S-13
P-092,Grupos,N,2030-06-24,S-14
P-093,Grupos,O,2030-06-24,S-15
P-094,Grupos,O,2030-06-24,S-16
P-095,Grupos,P,2030-06-24,S-17
P-096,Grupos,P,2030-06-24,S-18
P-097,Dieciseisavos,,2030-06-27,S-05
P-098,Dieciseisavos,,2030-06-27,S-06
P-099,Dieciseisavos,,2030-06-27,S-07
P-100,Dieciseisavos,,2030-06-27,S-08
P-101,Dieciseisavos,,2030-06-28,S-09
P-102,Dieciseisavos,,2030-06-28,S-10
P-103,Dieciseisavos,,2030-06-28,S-11
P-104,Dieciseisavos,,2030-06-28,S-12
P-105,Dieciseisavos,,2030-06-29,S-13
P-106,Dieciseisavos,,2030-06-29,S-14
P-107,Dieciseisavos,,2030-06-29,S-15
P-108,Dieciseisavos,,2030-06-29,S-16
P-109,Dieciseisavos,,2030-06-30,S-17
P-110,Dieciseisavos,,2030-06-30,S-18
P-111,Dieciseisavos,,2030-06-30,S-19
P-112,Dieciseisavos,,2030-06-30,S-20
P-113,Octavos,,2030-07-03,S-04
P-114,Octavos,,2030-07-03,S-06
P-115,Octavos,,2030-07-04,S-15
P-116,Octavos,,2030-07-04,S-12
P-117,Octavos,,2030-07-05,S-05
P-118,Octavos,,2030-07-05,S-16
P-119,Octavos,,2030-07-06,S-14
P-120,Octavos,,2030-07-06,S-18
P-121,Cuartos,,2030-07-09,S-04
P-122,Cuartos,,2030-07-09,S-06
P-123,Cuartos,,2030-07-10,S-15
P-124,Cuartos,,2030-07-10,S-12
P-125,Semifinal,,2030-07-13,S-06
P-126,Semifinal,,2030-07-14,S-15
P-127,Final,,2030-07-21,S-04
